Feature,Importance
cat__Contract_Month-to-month,0.25888165728962814
num__Tenure Months,0.201556579912351
cat__Dependents_Yes,0.12125990009613297
cat__Internet Service_Fiber optic,0.07123030607158921
num__Total Charges,0.04686440028890085
cat__Contract_One year,0.04344766260727987
cat__Online Security_No,0.03978082971855644
num__Monthly Charges,0.03721180714471674
cat__Payment Method_Electronic check,0.032994938824459384
cat__Dependents_No,0.028112619701769002
cat__Multiple Lines_No,0.022717418432622344
cat__Streaming Movies_Yes,0.022061448755844874
cat__Streaming TV_Yes,0.018506613921413093
cat__Internet Service_DSL,0.01647461219872774
cat__Online Security_Yes,0.015649569275104254
cat__Partner_Yes,0.012473821987491744
cat__Paperless Billing_Yes,0.010775813773412435
cat__Phone Service_Yes,0.0
cat__Partner_No,0.0
cat__Senior Citizen_Yes,0.0
num__Latitude,0.0
cat__Gender_Female,0.0
cat__Gender_Male,0.0
cat__Senior Citizen_No,0.0
num__Longitude,0.0
cat__Phone Service_No,0.0
cat__Online Backup_No,0.0
cat__Online Backup_No internet service,0.0
cat__Multiple Lines_No phone service,0.0
cat__Multiple Lines_Yes,0.0
cat__Internet Service_No,0.0
cat__Online Security_No internet service,0.0
cat__Tech Support_No internet service,0.0
cat__Tech Support_No,0.0
cat__Device Protection_Yes,0.0
cat__Device Protection_No internet service,0.0
cat__Device Protection_No,0.0
cat__Online Backup_Yes,0.0
cat__Streaming TV_No internet service,0.0
cat__Tech Support_Yes,0.0
cat__Streaming Movies_No,0.0
cat__Streaming Movies_No internet service,0.0
cat__Streaming TV_No,0.0
cat__Contract_Two year,0.0
cat__Paperless Billing_No,0.0
cat__Payment Method_Bank transfer (automatic),0.0
cat__Payment Method_Credit card (automatic),0.0
cat__Payment Method_Mailed check,0.0
