Feature,Importance
cat__Contract_Month-to-month,0.43250299
cat__Internet Service_Fiber optic,0.1341905
cat__Dependents_No,0.063824065
cat__Online Security_No,0.031021541
cat__Tech Support_No,0.025517333
cat__Contract_Two year,0.025000952
cat__Contract_One year,0.019471249
num__Tenure Months,0.016988372
cat__Phone Service_No,0.015323734
cat__Streaming Movies_Yes,0.015053187
cat__Online Backup_No,0.012845985
cat__Payment Method_Electronic check,0.012673871
cat__Multiple Lines_No,0.012588031
num__Monthly Charges,0.010443374
cat__Multiple Lines_Yes,0.010378421
num__Total Charges,0.010097909
cat__Payment Method_Mailed check,0.009752753
cat__Online Backup_Yes,0.009677723
cat__Gender_Female,0.009548632
num__Latitude,0.009380755
cat__Streaming TV_Yes,0.009331657
cat__Paperless Billing_No,0.0092161205
cat__Device Protection_No,0.009151324
cat__Internet Service_DSL,0.009080403
cat__Partner_No,0.0087796105
num__Longitude,0.008623685
cat__Online Security_Yes,0.008350058
cat__Payment Method_Bank transfer (automatic),0.008182986
cat__Senior Citizen_No,0.007854309
cat__Streaming TV_No,0.007698911
cat__Payment Method_Credit card (automatic),0.0075220102
cat__Streaming Movies_No,0.007459769
cat__Device Protection_Yes,0.006690591
cat__Tech Support_Yes,0.0057772533
cat__Phone Service_Yes,0.0
cat__Partner_Yes,0.0
cat__Gender_Male,0.0
cat__Dependents_Yes,0.0
cat__Senior Citizen_Yes,0.0
cat__Multiple Lines_No phone service,0.0
cat__Tech Support_No internet service,0.0
cat__Device Protection_No internet service,0.0
cat__Online Backup_No internet service,0.0
cat__Online Security_No internet service,0.0
cat__Internet Service_No,0.0
cat__Streaming TV_No internet service,0.0
cat__Streaming Movies_No internet service,0.0
cat__Paperless Billing_Yes,0.0
